,second_name,first_name,team,element_type,selected_by_percent,minutes,value_season,total_points,bps,influence,creativity,threat,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,position,Avg Playtime,PPG,PPGP,Full Name
96,Bissouma,Yves,Brighton,3,13.6,3112,17.1,77,487,523.6,295.5,196.0,1,0,11,42,0,0,0,8,1,0,2,Midfielder,81.89473684210526,2.026315789473684,2.226863753213368,"Bissouma, Yves - Brighton"
206,Castagne,Timothy,Leicester,2,3.5,2345,17.1,94,479,486.6,350.2,181.0,2,4,6,37,0,0,0,1,0,0,7,Defender,61.71052631578947,2.473684210526316,3.6076759061833688,"Castagne, Timothy - Leicester"
270,Grealish,Jack,Man City,3,31.3,2183,16.9,135,531,707.4,1029.6,917.0,6,12,12,28,0,0,0,6,0,0,13,Midfielder,57.44736842105263,3.5526315789473686,5.565735226752175,"Grealish, Jack - Man City"
287,Foden,Phil,Man City,3,7.5,1607,16.9,135,479,580.8,545.8,734.0,9,8,6,16,0,0,0,0,0,0,17,Midfielder,42.28947368421053,3.5526315789473686,7.560672059738644,"Foden, Phil - Man City"
136,Rüdiger,Antonio,Chelsea,2,5.9,1710,16.9,93,429,368.6,83.8,201.0,1,0,11,10,1,0,0,0,0,0,9,Defender,45.0,2.4473684210526314,4.894736842105263,"Rüdiger, Antonio - Chelsea"
130,Emiliano da Silva,Thiago,Chelsea,2,3.4,1935,16.7,92,481,537.8,84.9,223.0,2,0,10,25,0,0,0,3,1,0,10,Defender,50.921052631578945,2.4210526315789473,4.27906976744186,"Emiliano da Silva, Thiago - Chelsea"
271,Walker,Kyle,Man City,2,5.3,1944,16.5,91,410,332.2,200.9,88.0,1,1,9,20,0,0,0,1,0,0,7,Defender,51.1578947368421,2.3947368421052633,4.212962962962963,"Walker, Kyle - Man City"
307,McTominay,Scott,Man Utd,3,0.6,2124,16.5,91,413,523.2,270.5,314.0,4,2,9,25,0,0,0,3,0,0,4,Midfielder,55.89473684210526,2.3947368421052633,3.8559322033898304,"McTominay, Scott - Man Utd"
288,Hernandez,Rodrigo,Man City,3,0.4,2747,16.5,91,531,640.6,546.3,335.0,2,2,13,27,0,0,0,6,0,0,5,Midfielder,72.28947368421052,2.3947368421052633,2.98143429195486,"Hernandez, Rodrigo - Man City"
407,Ndombele,Tanguy,Spurs,3,0.4,2086,16.5,99,407,408.0,270.8,281.0,3,3,12,24,0,0,0,3,0,0,7,Midfielder,54.89473684210526,2.6052631578947367,4.271332694151487,"Ndombele, Tanguy - Spurs"
192,de Andrade,Richarlison,Everton,4,6.6,2862,16.4,123,415,576.4,359.7,1147.0,7,6,11,38,0,0,0,4,1,0,18,Forward,75.3157894736842,3.236842105263158,3.8679245283018866,"de Andrade, Richarlison - Everton"
