,second_name,first_name,team,element_type,selected_by_percent,minutes,value_season,total_points,bps,influence,creativity,threat,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,position,Avg Playtime,PPG,PPGP,Full Name
163,Schlupp,Jeffrey,Crystal Palace,3,0.1,1415,11.8,65,194,336.6,242.1,304.0,2,3,5,26,0,0,0,3,0,0,3,Midfielder,37.23684210526316,1.7105263157894737,4.134275618374558,"Schlupp, Jeffrey - Crystal Palace"
273,De Bruyne,Kevin,Man City,3,11.3,1995,11.8,141,566,760.8,1170.1,914.0,6,12,12,17,0,0,1,1,0,0,19,Midfielder,52.5,3.710526315789474,6.360902255639098,"De Bruyne, Kevin - Man City"
214,Söyüncü,Çaglar,Leicester,2,2.2,1816,11.8,59,360,403.6,114.4,157.0,1,0,5,30,0,0,0,2,0,0,3,Defender,47.78947368421053,1.5526315789473684,2.9240088105726874,"Söyüncü, Çaglar - Leicester"
337,Fernández,Federico,Newcastle,2,0.2,2080,11.8,53,376,522.0,91.3,64.0,0,0,5,38,1,0,0,4,0,0,6,Defender,54.73684210526316,1.394736842105263,2.293269230769231,"Fernández, Federico - Newcastle"
161,Ayew,Jordan,Crystal Palace,4,0.7,2086,11.7,70,216,278.6,238.6,451.0,1,4,6,42,0,0,0,4,0,0,2,Forward,54.89473684210526,1.8421052631578947,3.0201342281879198,"Ayew, Jordan - Crystal Palace"
366,Romeu Vidal,Oriol,Southampton,3,0.7,1762,11.6,52,264,349.2,229.1,98.0,1,1,6,25,0,0,0,6,0,0,4,Midfielder,46.36842105263158,1.368421052631579,2.6560726447219065,"Romeu Vidal, Oriol - Southampton"
291,Cavani,Edinson,Man Utd,4,14.9,1364,11.6,99,367,443.4,203.3,513.0,10,4,4,18,0,0,0,4,0,0,14,Forward,35.89473684210526,2.6052631578947367,6.532258064516129,"Cavani, Edinson - Man Utd"
396,Davies,Ben,Spurs,2,0.3,1340,11.6,52,253,232.8,136.8,65.0,0,2,4,16,0,0,0,1,0,0,1,Defender,35.26315789473684,1.368421052631579,3.4925373134328357,"Davies, Ben - Spurs"
261,Jota,Diogo,Liverpool,3,9.1,1106,11.5,86,228,387.4,188.3,680.0,9,0,4,15,0,0,0,2,0,0,9,Midfielder,29.105263157894736,2.263157894736842,6.998191681735985,"Jota, Diogo - Liverpool"
275,Mendy,Benjamin,Man City,2,1.1,951,11.5,63,222,179.8,117.1,89.0,2,1,5,10,0,0,0,2,0,0,8,Defender,25.026315789473685,1.6578947368421053,5.962145110410095,"Mendy, Benjamin - Man City"
160,Milivojevic,Luka,Crystal Palace,3,0.2,2357,11.5,63,332,410.8,329.6,143.0,1,1,7,47,0,0,1,8,1,0,3,Midfielder,62.026315789473685,1.6578947368421053,2.40560033941451,"Milivojevic, Luka - Crystal Palace"
231,Sousa de Azevedo e Costa,Hélder Wander,Leeds,3,0.2,1150,11.5,63,162,224.2,134.3,289.0,3,4,3,23,1,0,0,0,0,0,2,Midfielder,30.263157894736842,1.6578947368421053,4.930434782608695,"Sousa de Azevedo e Costa, Hélder Wander - Leeds"
118,Vydra,Matej,Burnley,4,0.9,1359,11.3,62,194,197.4,194.0,491.0,3,2,3,24,0,0,0,0,0,0,2,Forward,35.76315789473684,1.631578947368421,4.105960264900662,"Vydra, Matej - Burnley"
367,Redmond,Nathan,Southampton,3,0.2,1727,11.2,67,243,297.0,400.4,477.0,2,3,1,39,0,0,0,1,0,0,3,Midfielder,45.44736842105263,1.763157894736842,3.4916039374638097,"Redmond, Nathan - Southampton"
243,Henderson,Jordan,Liverpool,3,0.8,1704,11.2,56,345,358.0,262.3,108.0,1,2,4,23,0,0,0,0,0,0,2,Midfielder,44.8421052631579,1.4736842105263157,2.9577464788732395,"Henderson, Jordan - Liverpool"
11,El Sayed Elneny,Mohamed Naser,Arsenal,3,0.6,1538,11.1,50,258,200.2,99.9,79.0,1,0,5,20,0,0,0,3,0,0,3,Midfielder,40.473684210526315,1.3157894736842106,2.925877763328999,"El Sayed Elneny, Mohamed Naser - Arsenal"
107,Pieters,Erik,Burnley,2,0.3,1260,11.1,50,203,199.4,77.0,63.0,0,3,3,19,1,0,0,1,0,0,5,Defender,33.1578947368421,1.3157894736842106,3.5714285714285716,"Pieters, Erik - Burnley"
229,Llorente,Diego,Leeds,2,0.5,1203,11.1,50,255,293.0,51.0,115.0,1,0,4,12,0,0,0,1,0,0,3,Defender,31.657894736842106,1.3157894736842106,3.740648379052369,"Llorente, Diego - Leeds"
186,Iwobi,Alex,Everton,3,0.2,1530,10.8,65,256,262.6,263.1,233.0,1,3,5,21,0,0,0,0,0,0,1,Midfielder,40.26315789473684,1.7105263157894737,3.823529411764706,"Iwobi, Alex - Everton"
134,Kovacic,Mateo,Chelsea,3,0.2,1809,10.8,54,332,332.4,384.8,153.0,0,1,9,26,0,0,0,4,0,0,0,Midfielder,47.60526315789474,1.4210526315789473,2.6865671641791042,"Kovacic, Mateo - Chelsea"
319,Dubravka,Martin,Newcastle,1,0.5,1170,10.7,48,255,346.8,0.0,0.0,0,0,3,19,0,0,0,0,0,45,6,Goalkeeper,30.789473684210527,1.263157894736842,3.6923076923076925,"Dubravka, Martin - Newcastle"
149,Hudson-Odoi,Callum,Chelsea,3,0.2,1050,10.7,59,239,291.8,471.5,336.0,2,3,6,5,0,0,0,0,0,0,2,Midfielder,27.63157894736842,1.5526315789473684,5.057142857142858,"Hudson-Odoi, Callum - Chelsea"
150,Havertz,Kai,Chelsea,3,13.1,1512,10.7,91,268,325.0,307.7,514.0,4,6,8,15,0,0,0,2,0,0,3,Midfielder,39.78947368421053,2.3947368421052633,5.416666666666666,"Havertz, Kai - Chelsea"
145,Abraham,Tammy,Chelsea,4,1.0,1031,10.6,69,224,277.2,121.6,483.0,6,2,5,12,0,0,0,0,0,0,8,Forward,27.13157894736842,1.8157894736842106,6.023278370514064,"Abraham, Tammy - Chelsea"
281,Laporte,Aymeric,Man City,2,1.8,1343,10.5,58,286,233.4,78.0,85.0,0,0,7,10,0,0,0,1,0,0,4,Defender,35.3421052631579,1.5263157894736843,3.8868205510052123,"Laporte, Aymeric - Man City"
80,Lallana,Adam,Brighton,3,0.3,1584,10.5,58,265,255.2,355.7,302.0,1,1,5,18,0,0,0,0,0,0,2,Midfielder,41.68421052631579,1.5263157894736843,3.295454545454545,"Lallana, Adam - Brighton"
183,Marques Loureiro,Allan,Everton,3,1.1,2050,10.4,47,290,366.6,233.3,42.0,0,0,7,30,0,0,0,6,0,0,0,Midfielder,53.94736842105263,1.236842105263158,2.0634146341463415,"Marques Loureiro, Allan - Everton"
321,Hendrick,Jeff,Newcastle,3,0.1,1418,10.4,52,177,211.4,99.0,95.0,2,1,3,24,0,0,0,1,1,0,3,Midfielder,37.31578947368421,1.368421052631579,3.3004231311706627,"Hendrick, Jeff - Newcastle"
316,Ritchie,Matt,Newcastle,2,0.3,1347,10.4,52,226,225.8,411.9,101.0,0,5,3,22,1,0,0,2,0,0,5,Defender,35.44736842105263,1.368421052631579,3.4743875278396437,"Ritchie, Matt - Newcastle"
131,Alonso,Marcos,Chelsea,2,1.3,958,10.4,57,225,224.2,204.1,328.0,2,1,5,13,0,0,0,2,0,0,5,Defender,25.210526315789473,1.5,5.354906054279749,"Alonso, Marcos - Chelsea"
317,Clark,Ciaran,Newcastle,2,0.2,1890,10.2,46,291,402.6,29.8,105.0,1,0,3,35,1,0,0,3,0,0,2,Defender,49.73684210526316,1.2105263157894737,2.1904761904761907,"Clark, Ciaran - Newcastle"
146,Pulisic,Christian,Chelsea,3,1.4,1731,10.2,82,264,361.4,378.8,724.0,4,3,7,21,0,0,0,2,0,0,3,Midfielder,45.55263157894737,2.1578947368421053,4.263431542461005,"Pulisic, Christian - Chelsea"
38,Ibrahim Hassan,Mahmoud Ahmed,Aston Villa,3,0.0,1157,10.2,56,152,213.6,180.1,478.0,2,1,6,14,0,0,0,0,0,0,3,Midfielder,30.44736842105263,1.4736842105263157,4.356093344857389,"Ibrahim Hassan, Mahmoud Ahmed - Aston Villa"
327,Krafth,Emil,Newcastle,2,0.1,1286,10.0,45,222,240.4,87.7,88.0,1,1,5,27,0,0,0,4,0,0,0,Defender,33.8421052631579,1.1842105263157894,3.149300155520995,"Krafth, Emil - Newcastle"
265,Jones,Curtis,Liverpool,3,0.1,1169,10.0,50,226,224.6,233.4,289.0,1,2,5,14,0,0,0,2,0,0,0,Midfielder,30.763157894736842,1.3157894736842106,3.849443969204448,"Jones, Curtis - Liverpool"
246,Alcántara do Nascimento,Thiago,Liverpool,3,1.1,1851,10.0,55,331,378.8,460.3,178.0,1,0,8,18,0,0,0,4,0,0,1,Midfielder,48.71052631578947,1.4473684210526316,2.674230145867099,"Alcántara do Nascimento, Thiago - Liverpool"
156,McArthur,James,Crystal Palace,3,0.2,1465,10.0,45,228,285.2,202.2,65.0,0,2,4,26,0,0,0,3,0,0,3,Midfielder,38.55263157894737,1.1842105263157894,2.7645051194539247,"McArthur, James - Crystal Palace"
386,Sissoko,Moussa,Spurs,3,1.4,1576,9.8,44,214,182.2,94.5,69.0,0,0,5,22,0,0,0,3,0,0,2,Midfielder,41.473684210526315,1.1578947368421053,2.512690355329949,"Sissoko, Moussa - Spurs"
232,Roberts,Tyler,Leeds,3,0.1,1330,9.8,49,169,189.4,239.0,296.0,1,2,4,19,0,0,0,3,0,0,0,Midfielder,35.0,1.2894736842105263,3.31578947368421,"Roberts, Tyler - Leeds"
335,Lewis,Jamal,Newcastle,2,0.3,1833,9.8,44,261,272.6,224.8,47.0,0,1,3,37,0,0,0,4,0,0,3,Defender,48.23684210526316,1.1578947368421053,2.160392798690671,"Lewis, Jamal - Newcastle"
323,Lascelles,Jamaal,Newcastle,2,0.5,1625,9.8,44,229,345.2,38.1,161.0,2,0,2,32,0,0,0,4,0,0,3,Defender,42.76315789473684,1.1578947368421053,2.4369230769230765,"Lascelles, Jamaal - Newcastle"
111,Rodriguez,Jay,Burnley,4,0.8,1248,9.8,54,125,149.8,97.4,449.0,1,3,4,25,0,0,0,3,0,0,2,Forward,32.8421052631579,1.4210526315789473,3.894230769230769,"Rodriguez, Jay - Burnley"
148,Ampadu,Ethan,Chelsea,2,0.2,2087,9.8,44,341,458.0,189.6,51.0,0,0,2,41,1,0,0,3,0,0,4,Defender,54.921052631578945,1.1578947368421053,1.8974604695735504,"Ampadu, Ethan - Chelsea"
208,Pérez,Ayoze,Leicester,3,0.3,1322,9.7,58,149,255.6,323.6,482.0,2,1,5,21,0,0,0,2,0,0,2,Midfielder,34.78947368421053,1.5263157894736843,3.94856278366112,"Pérez, Ayoze - Leicester"
184,Tavares Gomes,André Filipe,Everton,3,0.1,1559,9.6,48,224,189.0,244.5,103.0,0,1,5,22,0,0,0,3,0,0,0,Midfielder,41.026315789473685,1.263157894736842,2.7710070558050033,"Tavares Gomes, André Filipe - Everton"
399,Sánchez,Davinson,Spurs,2,0.5,1486,9.6,43,256,319.2,20.0,114.0,0,0,4,22,1,0,0,1,0,0,3,Defender,39.10526315789474,1.131578947368421,2.6043068640646028,"Sánchez, Davinson - Spurs"
112,Barnes,Ashley,Burnley,4,1.9,1324,9.5,52,107,153.8,243.6,548.0,3,0,6,19,0,0,0,4,0,0,7,Forward,34.8421052631579,1.368421052631579,3.5347432024169185,"Barnes, Ashley - Burnley"
188,Davies,Tom,Everton,3,0.1,1417,9.4,47,209,205.6,112.0,30.0,0,1,5,23,0,0,0,3,0,0,1,Midfielder,37.28947368421053,1.236842105263158,2.985179957657022,"Davies, Tom - Everton"
392,Doherty,Matt,Spurs,2,1.1,1238,9.4,47,222,257.2,182.4,79.0,0,2,4,15,0,0,0,2,1,0,4,Defender,32.578947368421055,1.236842105263158,3.416801292407108,"Doherty, Matt - Spurs"
14,Partey,Thomas,Arsenal,3,0.2,1529,9.4,47,273,289.4,195.7,129.0,0,2,6,18,0,0,0,5,0,0,0,Midfielder,40.23684210526316,1.236842105263158,2.7665140614780905,"Partey, Thomas - Arsenal"
300,Martial,Anthony,Man Utd,4,1.0,1477,9.4,75,238,297.6,265.4,709.0,4,7,4,23,0,0,0,0,1,0,3,Forward,38.86842105263158,1.9736842105263157,4.570074475287745,"Martial, Anthony - Man Utd"
457,Masuaku,Arthur,West Ham,2,0.3,1006,9.3,42,209,187.4,200.5,62.0,0,2,4,15,0,0,0,2,0,0,4,Defender,26.473684210526315,1.105263157894737,3.7574552683896623,"Masuaku, Arthur - West Ham"
140,Ziyech,Hakim,Chelsea,3,1.9,1164,9.3,70,239,274.8,485.6,369.0,2,3,10,7,0,0,0,3,0,0,8,Midfielder,30.63157894736842,1.8421052631578947,5.412371134020619,"Ziyech, Hakim - Chelsea"
464,Diop,Issa,West Ham,2,0.5,1379,9.3,42,234,375.6,17.4,48.0,2,0,2,22,1,0,0,3,0,0,1,Defender,36.28947368421053,1.105263157894737,2.7411167512690353,"Diop, Issa - West Ham"
401,Bergwijn,Steven,Spurs,3,0.3,1202,9.2,55,129,161.4,190.9,180.0,1,4,5,15,0,0,0,3,0,0,2,Midfielder,31.63157894736842,1.4473684210526316,4.118136439267887,"Bergwijn, Steven - Spurs"
368,Stephens,Jack,Southampton,2,0.2,1537,9.1,41,288,351.0,85.6,104.0,0,0,4,39,0,0,0,2,0,0,6,Defender,40.44736842105263,1.0789473684210527,2.400780741704619,"Stephens, Jack - Southampton"
115,Gudmundsson,Johann Berg,Burnley,3,0.1,1358,9.1,50,175,193.6,160.8,170.0,2,0,3,24,0,0,0,2,0,0,3,Midfielder,35.73684210526316,1.3157894736842106,3.313696612665685,"Gudmundsson, Johann Berg - Burnley"
333,Longstaff,Sean,Newcastle,3,0.3,1405,9.1,41,168,179.2,182.8,148.0,0,1,2,26,0,0,0,2,0,0,1,Midfielder,36.973684210526315,1.0789473684210527,2.626334519572954,"Longstaff, Sean - Newcastle"
200,Mendy,Nampalys,Leicester,3,0.4,1452,9.1,41,234,153.0,118.7,23.0,0,1,4,25,0,0,0,5,0,0,0,Midfielder,38.21052631578947,1.0789473684210527,2.541322314049587,"Mendy, Nampalys - Leicester"
325,Dummett,Paul,Newcastle,2,0.1,1254,8.9,40,204,274.4,68.1,45.0,1,0,3,20,0,0,0,2,0,0,2,Defender,33.0,1.0526315789473684,2.8708133971291865,"Dummett, Paul - Newcastle"
330,Hayden,Isaac,Newcastle,3,0.2,1942,8.9,40,211,278.0,117.7,155.0,0,0,4,33,0,0,0,8,0,0,0,Midfielder,51.10526315789474,1.0526315789473684,1.8537590113285272,"Hayden, Isaac - Newcastle"
242,Milner,James,Liverpool,3,0.1,1056,8.8,44,204,200.0,242.0,108.0,0,2,4,10,0,0,0,3,0,0,2,Midfielder,27.789473684210527,1.1578947368421053,3.7500000000000004,"Milner, James - Liverpool"
302,Henderson,Dean,Man Utd,1,3.0,1125,8.8,44,218,275.4,0.0,0.0,0,0,4,12,0,0,0,3,0,40,1,Goalkeeper,29.605263157894736,1.1578947368421053,3.52,"Henderson, Dean - Man Utd"
257,Minamino,Takumi,Liverpool,3,0.1,999,8.7,48,153,168.2,92.3,281.0,3,0,2,18,0,0,0,1,0,0,2,Midfielder,26.289473684210527,1.263157894736842,4.324324324324325,"Minamino, Takumi - Liverpool"
100,Mac Allister,Alexis,Brighton,3,0.1,1108,8.7,48,148,170.6,210.6,235.0,1,1,5,14,0,0,0,1,0,0,3,Midfielder,29.157894736842106,1.263157894736842,3.898916967509025,"Mac Allister, Alexis - Brighton"
380,Djenepo,Moussa,Southampton,3,0.1,1229,8.4,46,140,178.0,97.7,170.0,1,2,3,27,0,0,0,5,0,0,0,Midfielder,32.3421052631579,1.2105263157894737,3.368592351505289,"Djenepo, Moussa - Southampton"
245,Matip,Joel,Liverpool,2,0.4,690,8.4,42,194,179.0,42.4,84.0,1,2,3,5,0,0,0,2,0,0,5,Defender,18.157894736842106,1.105263157894737,5.478260869565217,"Matip, Joel - Liverpool"
233,Koch,Robin,Leeds,2,0.4,1130,8.4,38,220,230.2,52.2,131.0,0,0,4,21,0,0,0,1,0,0,2,Defender,29.736842105263158,1.0,3.026548672566372,"Koch, Robin - Leeds"
92,Ryan,Mathew,Brighton,1,0.1,1260,8.2,37,216,193.6,10.7,2.0,0,0,3,21,0,0,0,1,0,24,0,Goalkeeper,33.1578947368421,0.9736842105263158,2.642857142857143,"Ryan, Mathew - Brighton"
9,Chambers,Calum,Arsenal,2,0.7,751,8.0,36,168,171.8,169.4,77.0,0,3,2,10,0,0,0,0,0,0,3,Defender,19.763157894736842,0.9473684210526315,4.314247669773635,"Chambers, Calum - Arsenal"
293,Matic,Nemanja,Man Utd,3,0.2,1101,8.0,36,223,218.4,149.0,80.0,0,1,4,18,0,0,0,2,0,0,0,Midfielder,28.973684210526315,0.9473684210526315,2.942779291553134,"Matic, Nemanja - Man Utd"
97,Lamptey,Tariq,Brighton,2,3.6,887,7.8,35,156,147.8,162.9,156.0,1,3,2,15,0,0,0,2,1,0,2,Defender,23.342105263157894,0.9210526315789473,3.5512965050732803,"Lamptey, Tariq - Brighton"
7,Marí,Pablo,Arsenal,2,0.2,900,7.6,34,182,163.2,26.4,16.0,0,0,4,8,0,0,0,2,0,0,1,Defender,23.68421052631579,0.8947368421052632,3.4,"Marí, Pablo - Arsenal"
135,Batshuayi,Michy,Chelsea,4,0.2,717,7.5,41,113,132.8,113.5,210.0,2,2,2,15,0,0,0,0,0,0,2,Forward,18.86842105263158,1.0789473684210527,5.146443514644352,"Batshuayi, Michy - Chelsea"
203,Praet,Dennis,Leicester,3,0.1,714,7.4,37,129,119.2,132.1,120.0,1,2,3,11,0,0,0,0,0,0,1,Midfielder,18.789473684210527,0.9736842105263158,4.663865546218487,"Praet, Dennis - Leicester"
108,Cork,Jack,Burnley,3,0.1,1350,7.3,33,154,140.0,126.2,82.0,0,0,4,24,0,0,0,2,0,0,0,Midfielder,35.526315789473685,0.868421052631579,2.2,"Cork, Jack - Burnley"
309,James,Daniel,Man Utd,3,0.2,907,7.2,43,145,186.0,145.7,285.0,3,1,4,7,0,0,0,3,0,0,1,Midfielder,23.86842105263158,1.131578947368421,4.266813671444322,"James, Daniel - Man Utd"
129,Giroud,Olivier,Chelsea,4,0.1,740,7.2,47,139,161.4,112.0,403.0,4,0,4,5,0,0,0,1,0,0,6,Forward,19.473684210526315,1.236842105263158,5.716216216216217,"Giroud, Olivier - Chelsea"
376,Tella,Nathan,Southampton,3,0.2,735,7.2,36,76,94.6,86.0,203.0,1,2,2,11,0,0,0,2,0,0,2,Midfielder,19.342105263157894,0.9473684210526315,4.408163265306123,"Tella, Nathan - Southampton"
322,Fraser,Ryan,Newcastle,3,0.2,922,7.1,39,154,142.8,395.0,165.0,0,4,4,18,0,0,0,0,1,0,0,Midfielder,24.263157894736842,1.0263157894736843,3.8069414316702823,"Fraser, Ryan - Newcastle"
37,Hause,Kortney,Aston Villa,2,0.2,630,7.1,32,124,147.0,2.2,57.0,1,0,3,6,0,0,0,2,0,0,3,Defender,16.57894736842105,0.8421052631578947,4.571428571428571,"Hause, Kortney - Aston Villa"
99,Alzate,Steven,Brighton,3,0.1,892,7.0,35,141,132.2,154.9,88.0,1,0,5,17,0,0,0,2,0,0,3,Midfielder,23.473684210526315,0.9210526315789473,3.531390134529148,"Alzate, Steven - Brighton"
326,Manquillo,Javier,Newcastle,2,13.8,822,7.0,28,136,109.8,93.5,18.0,0,0,3,15,0,0,0,1,0,0,0,Defender,21.63157894736842,0.7368421052631579,3.0656934306569346,"Manquillo, Javier - Newcastle"
98,Connolly,Aaron,Brighton,4,0.2,783,6.9,38,95,104.2,74.1,307.0,2,1,1,17,0,0,0,0,0,0,2,Forward,20.605263157894736,1.0,4.367816091954023,"Connolly, Aaron - Brighton"
379,Diallo,Ibrahima,Southampton,3,0.1,1010,6.9,31,132,120.4,143.2,66.0,0,0,3,22,0,0,0,3,0,0,0,Midfielder,26.57894736842105,0.8157894736842105,2.7623762376237626,"Diallo, Ibrahima - Southampton"
364,Forster,Fraser,Southampton,1,1.0,720,6.7,30,147,191.0,0.0,0.0,0,0,2,11,0,1,0,0,0,20,0,Goalkeeper,18.94736842105263,0.7894736842105263,3.75,"Forster, Fraser - Southampton"
329,Schär,Fabian,Newcastle,2,0.3,1255,6.7,30,160,251.0,9.0,116.0,1,0,2,21,0,0,0,4,1,0,1,Defender,33.026315789473685,0.7894736842105263,2.151394422310757,"Schär, Fabian - Newcastle"
19,Nketiah,Edward,Arsenal,4,0.5,411,6.5,36,120,116.6,97.3,211.0,2,1,1,6,0,0,0,0,0,0,5,Forward,10.81578947368421,0.9473684210526315,7.883211678832117,"Nketiah, Edward - Arsenal"
25,Martinelli Silva,Gabriel Teodoro,Arsenal,3,0.3,582,6.5,36,107,142.6,133.8,300.0,2,1,4,3,0,0,0,0,0,0,0,Midfielder,15.31578947368421,0.9473684210526315,5.56701030927835,"Martinelli Silva, Gabriel Teodoro - Arsenal"
313,Mata,Juan,Man Utd,3,0.1,507,6.4,32,126,108.4,132.8,86.0,1,3,1,6,0,0,0,0,0,0,3,Midfielder,13.342105263157896,0.8421052631578947,5.680473372781065,"Mata, Juan - Man Utd"
308,Bailly,Eric,Man Utd,2,0.2,915,6.2,31,178,175.6,8.3,26.0,0,0,3,17,0,0,0,3,0,0,6,Defender,24.07894736842105,0.8157894736842105,3.0491803278688527,"Bailly, Eric - Man Utd"
52,Ramsey,Jacob,Aston Villa,3,0.3,611,6.2,28,75,72.8,91.7,126.0,0,0,2,10,0,0,0,0,0,0,0,Midfielder,16.07894736842105,0.7368421052631579,4.124386252045826,"Ramsey, Jacob - Aston Villa"
465,Johnson,Ben,West Ham,2,3.2,516,6.2,25,104,98.0,63.7,28.0,1,0,1,10,0,0,0,1,0,0,0,Defender,13.578947368421053,0.6578947368421053,4.3604651162790695,"Johnson, Ben - West Ham"
4,Soares,Cédric,Arsenal,2,0.3,744,6.2,28,125,110.8,114.8,66.0,0,1,2,11,0,0,0,1,0,0,3,Defender,19.57894736842105,0.7368421052631579,3.387096774193548,"Soares, Cédric - Arsenal"
268,Williams,Rhys,Liverpool,2,0.1,659,6.2,28,135,111.6,29.8,62.0,0,0,3,6,0,0,0,0,0,0,1,Defender,17.342105263157894,0.7368421052631579,3.8239757207890746,"Williams, Rhys - Liverpool"
455,Fredericks,Ryan,West Ham,2,0.2,564,6.2,28,127,155.2,166.8,96.0,1,1,1,9,0,0,0,2,0,0,0,Defender,14.842105263157896,0.7368421052631579,4.468085106382979,"Fredericks, Ryan - West Ham"
42,Nakamba,Marvelous,Aston Villa,3,0.1,747,6.0,27,115,110.8,32.5,10.0,0,1,4,6,0,0,0,3,0,0,1,Midfielder,19.657894736842106,0.7105263157894737,3.2530120481927707,"Nakamba, Marvelous - Aston Villa"
446,Noble,Mark,West Ham,3,0.7,701,6.0,27,132,80.4,88.6,7.0,0,0,0,15,0,0,0,1,0,0,0,Midfielder,18.44736842105263,0.7105263157894737,3.466476462196862,"Noble, Mark - West Ham"
406,Rodon,Joe,Spurs,2,0.2,732,6.0,27,169,166.2,3.6,6.0,0,0,2,12,0,0,0,0,0,0,3,Defender,19.263157894736842,0.7105263157894737,3.319672131147541,"Rodon, Joe - Spurs"
280,Aké,Nathan,Man City,2,0.3,797,5.8,29,150,156.0,46.9,44.0,1,0,3,13,0,0,0,4,0,0,1,Defender,20.973684210526315,0.7631578947368421,3.2747804265997487,"Aké, Nathan - Man City"
404,Lo Celso,Giovani,Spurs,3,0.2,939,5.8,35,149,169.2,222.8,155.0,1,1,5,10,0,0,0,5,0,0,0,Midfielder,24.710526315789473,0.9210526315789473,3.3546325878594248,"Lo Celso, Giovani - Spurs"
216,Thomas,Luke,Leicester,2,0.3,968,5.8,26,132,169.0,111.7,101.0,1,0,1,18,0,0,0,2,0,0,0,Defender,25.473684210526315,0.6842105263157895,2.4173553719008263,"Thomas, Luke - Leicester"
471,Jiménez,Raúl,Wolves,4,3.7,824,5.7,43,148,177.4,96.2,275.0,4,1,4,10,1,0,0,0,0,0,7,Forward,21.68421052631579,1.131578947368421,4.6966019417475735,"Jiménez, Raúl - Wolves"
324,Gayle,Dwight,Newcastle,4,0.2,501,5.6,31,79,79.6,89.4,263.0,1,1,0,9,0,0,0,0,0,0,3,Forward,13.18421052631579,0.8157894736842105,5.568862275449102,"Gayle, Dwight - Newcastle"
304,van de Beek,Donny,Man Utd,3,0.2,511,5.3,32,133,117.0,58.4,70.0,1,2,0,12,0,0,0,1,0,0,0,Midfielder,13.447368421052632,0.8421052631578947,5.636007827788649,"van de Beek, Donny - Man Utd"
138,Arrizabalaga,Kepa,Chelsea,1,0.3,585,5.2,26,117,113.6,0.0,0.0,0,0,2,8,0,0,0,1,0,16,5,Goalkeeper,15.394736842105264,0.6842105263157895,4.0,"Arrizabalaga, Kepa - Chelsea"
221,Hernández Domínguez,Pablo,Leeds,3,0.0,414,5.1,28,103,84.0,97.9,153.0,0,3,1,6,0,0,0,1,0,0,0,Midfielder,10.894736842105264,0.7368421052631579,6.086956521739131,"Hernández Domínguez, Pablo - Leeds"
50,Davis,Keinan,Aston Villa,4,8.0,265,5.1,23,85,77.2,76.7,169.0,1,1,1,1,0,0,0,0,0,0,0,Forward,6.973684210526316,0.6052631578947368,7.811320754716981,"Davis, Keinan - Aston Villa"
301,Telles,Alex Nicolao,Man Utd,2,0.1,689,5.0,25,149,168.6,200.7,33.0,0,2,1,11,0,0,0,0,0,0,3,Defender,18.13157894736842,0.6578947368421053,3.2656023222060955,"Telles, Alex Nicolao - Man Utd"
481,Gibbs-White,Morgan,Wolves,3,0.7,407,4.9,22,87,85.0,112.8,114.0,1,0,0,6,0,0,0,1,0,0,3,Midfielder,10.710526315789474,0.5789473684210527,4.864864864864865,"Gibbs-White, Morgan - Wolves"
204,Barbosa Pereira,Ricardo Domingos,Leicester,2,2.0,954,4.9,27,152,183.4,162.4,144.0,0,1,2,19,0,0,0,3,0,0,0,Defender,25.105263157894736,0.7105263157894737,2.547169811320755,"Barbosa Pereira, Ricardo Domingos - Leicester"
205,Amartey,Daniel,Leicester,2,6.2,718,4.8,19,121,155.0,10.9,61.0,1,0,0,12,0,0,0,3,0,0,2,Defender,18.894736842105264,0.5,2.381615598885794,"Amartey, Daniel - Leicester"
101,Moder,Jakub,Brighton,3,0.2,643,4.7,21,59,63.8,62.2,162.0,0,0,2,10,0,0,0,0,0,0,0,Midfielder,16.92105263157895,0.5526315789473685,2.9393468118195956,"Moder, Jakub - Brighton"
388,Lamela,Erik,Spurs,3,0.1,700,4.7,28,96,115.2,137.1,236.0,1,1,1,17,0,0,0,4,1,0,0,Midfielder,18.42105263157895,0.7368421052631579,3.6,"Lamela, Erik - Spurs"
456,Lanzini,Manuel,West Ham,3,0.2,556,4.7,28,117,121.4,153.0,102.0,1,1,1,5,0,0,0,1,0,0,0,Midfielder,14.631578947368421,0.7368421052631579,4.532374100719425,"Lanzini, Manuel - West Ham"
395,Alli,Bamidele,Spurs,3,1.1,613,4.6,30,101,103.4,132.1,165.0,0,2,3,9,0,0,0,0,0,0,0,Midfielder,16.13157894736842,0.7894736842105263,4.404567699836868,"Alli, Bamidele - Spurs"
93,Jahanbakhsh,Alireza,Brighton,3,0.0,520,4.4,24,102,73.2,162.8,221.0,0,1,1,9,0,0,0,3,0,0,0,Midfielder,13.68421052631579,0.631578947368421,4.153846153846154,"Jahanbakhsh, Alireza - Brighton"
247,Shaqiri,Xherdan,Liverpool,3,0.2,548,4.3,26,127,95.2,294.2,86.0,0,2,2,7,0,0,0,2,0,0,1,Midfielder,14.421052631578947,0.6842105263157895,4.27007299270073,"Shaqiri, Xherdan - Liverpool"
